Date	Month	Day	Year	Title	IMDB	MovieWikipedia	ReasonWikipedia	Reason	Refreshments	Timestamp	Mention	
Jun 6 1944	6	6	1944	Saving Private Ryan	tt0120815	Saving_Private_Ryan	Normandy_landings	D-Day				
Jun 6 1944	6	6	1944	D-Day 6.6.1944	tt0412617		Normandy_landings	D-Day				
Jun 6 1950	6	6	1950	The Final Conflict	tt0082377							
Jun 6 1966	6	6	1966	Omen II: Damien	tt0077394							
Jun 6 1971	6	6	1971	The Omen	tt0075005			Date of Damien's birth				
Jun 6 2001	6	6	2001	The Omen	tt0466909							
Jun 9 1954	6	9	1954	Clue	tt0088930	Clue_(film)		Date the movie is set, as calculated from the McCarthy hearing on TV				
Jun 11 2000	6	11	-323	Alexander	tt0346491	Alexander_(2004_film)	Death_of_Alexander_the_Great	Date of Alexander's death				
Jun 11 1962	6	11	1962	Escape from Alcatraz	tt0079116	Escape_from_Alcatraz_(film)	June_1962_Alcatraz_escape_attempt	Date of the prison escape from Alcatraz				
Jun 16 1994	6	16	1994	Before Sunrise	tt0112471	Before_Sunrise						
Jun 17 1972	6	17	1972	All the President's Men	tt0074119	All_the_President%27s_Men_(film)	Watergate_scandal	Date of Watergate				
Jun 18 1815	6	18	1815	Waterloo	tt0066549		Battle_of_Waterloo					
Jun 18 1972	6	18	1972	Superman	tt0078346	Superman_(1978_film)		Date Superman lands on earth				
Jun 21 1964	6	21	1964	Mississippi Burning	tt0095647	Mississippi_Burning	Murders_of_Chaney,_Goodman,_and_Schwerner	Date of the real life event				
Jun 27 1976	6	27	1976	Raid on Entebbe	tt0076594	Raid_on_Entebbe_(film)		Date the plane was hijacked				
Jul 1 1931	7	1	1931	Rabbit-Proof Fence	tt0252444			Date the children were taken		00:05:35		
Jul 4 2020	7	2	2020	Independence Day	tt0116629	Independence_Day_(1996_film)		Date the ships arrived				
Jul 3 1863	7	3	1863	Gettysburg	tt0107007	Gettysburg_(1993_film)		Last day of the battle				
Jul 4 1976	7	4	1976	Victory at Entebbe	tt0075391	Victory_at_Entebbe		Date of the operation to free the hostages				
Jul 4 1976	7	4	1976	Operation Thunderbolt	tt0076398	Operation_Thunderbolt_(film)		Date of the operation to free the hostages				
Jul 4 1976	7	4	1976	Entebbe	tt5466186	Entebbe_(film)		Date of the operation to free the hostages				
Jul 4 2020	7	4	2020	Independence Day	tt0116629	Independence_Day_(1996_film)						
Jul 4 2020	7	4	2020	Born on the Fourth of July	tt0096969			Date in the title				
Jul 13 1985	7	13	1985	Bohemian Rhapsody	tt1727824	Bohemian_Rhapsody_(film)	Live_Aid#London,_Wembley_Stadium	Date of Live Aid concert				
Jul 13 2020	7	13	2020	Hotel Transylvania 3	tt5220122			Date the movie is set				
Jul 14 2020	7	14	2020	Con Air	tt0118880							
Jul 18 1918	7	18	1918	Mandela: Long Walk to Freedom	tt2304771	Mandela:_Long_Walk_to_Freedom	Mandela_Day	Nelson Mandela Day				
Jul 20 1944	7	20	1944	Valkyrie	tt0985699	Valkyrie_(film)	20_July_plot	Date of the attempted assassination of Hitler				
Jul 20 1969	7	20	1969	Apollo 11	tt8760684	Apollo_11_(2019_film)	Apollo_11	Date of the moon landing				
Jul 26 1942	7	26	1942	Guadalcanal Diary	tt0035957	Guadalcanal_Diary_(film)	Guadalcanal_campaign	Date the movie is set				
Aug 3 2006	8	3	2006	The King of Kong	tt0923752	The_King_of_Kong	Donkey_Kong_high_score_competition	Date of record breaking attempt				
Aug 5 2020	8	5	2020	Do the Right Thing	tt0097216	Do_the_Right_Thing		Date the movie is set on				
Aug 7 1974	8	7	1974	Man on Wire	tt1155592	Man_on_Wire	Philippe_Petit#World_Trade_Center_walk	Date of the tight rope walk				
Aug 7 1974	8	7	1974	The Walk	tt3488710	The_Walk_(2015_film)	Philippe_Petit#World_Trade_Center_walk	Date of the tight rope walk				
Aug 8 1915	8	8	1915	Chunuk Bair	tt0103966	Chunuk_Bair_(film)	Battle_of_Chunuk_Bair					
Aug 18 1966	8	18	1966	Danger Close	tt0441881							
Aug 18 1966	8	18	1966	Danger Close	tt0441881	Danger_Close:_The_Battle_of_Long_Tan	Battle_of_Long_Tan	Date of the battle				
Aug 22 1972	8	22	1972	Dog Day Afternoon	tt0072890	Dog_Day_Afternoon	John_Wojtowicz#Bank_robbery	Date of the real life event				
Aug 24 1979	8	24	79	Pompeii	tt1921064	Pompeii_(film)	Eruption_of_Mount_Vesuvius_in_79_AD	Date of the eruption				
Aug 24 1979	8	24	79	The Last Days of Pompeii	tt0054422	The_Last_Days_of_Pompeii_(1935_film)		Date of the eruption				
Aug 25 1963	8	25	1963	The Day of the Jackal	tt0069947							
Aug 29 1997	8	29	1997	Terminator 2: Judgement Day	tt0103064	Terminator_2:_Judgment_Day		SkyNet becomes self-aware, Judgement Day				
Aug 31 1997	8	31	1997	The Queen	tt0436697	The_Queen_(2006_film)	Death_of_Diana,_Princess_of_Wales	Date of Diana's death				
Sep 1 2020	9	1	2020	Harry Potter	tt0241527			First day of school				
Sep 3 1939	9	3	1939	The King's Speech	tt1504320	The_King%27s_Speech						
Sep 5 1965	9	5	1965	Moonrise Kingdom	tt1748122	Moonrise_Kingdom		Date of the storm				
Sep 5 1972	9	5	1972	Munich	tt0408306	Munich_(film)	Operation_Wrath_of_God	Date the hostages were taken				
Sep 5 1972	9	5	1972		tt0230591	One Day in September						
Sep 11 2001	9	11	2001	World Trade Center	tt0469641			Date of the terror attack				
Sep 13 2020	9	13	2020	Dr. Strangelove	tt0057012							
Sep 15 2020	9	15	2020	4 Little Girls	tt0118540							
Sep 19 1720	9	19	1720	Pirates of the Caribbean	tt0325980	Pirates_of_the_Caribbean		Talk Like a Pirate Day				
Sep 21 2020	9	21	2020	Around the World in 80 Days	tt0327437			Date of Phileas Fogg's return to London				
Sep 22 2020	9	22		The Lord of the Rings	tt0120737			Hobbit Day Bilbo Baggins Birthday				
Oct 1 2020	10	1	2020	Willy Wonka and the Chocolate Factory	tt0067992			Date of Factory Visit	Large chocolate bar			
Oct 3 1993	10	3	1993	Black Hawk Down	tt0265086	Black_Hawk_Down_(film)	Battle_of_Mogadishu_(1993)	Date of event				
Oct 4 1941	10	4	1941	Bad Blood	tt0082043	Bad_Blood_(1981_film)	Stanley_Graham#The_day_of_the_rampage					
Oct 13 1972	10	13	1972	Alive	tt0106246	Alive_(1993_film)	Uruguayan_Air_Force_Flight_571	Date of the plane crash				
Oct 13 2020	10	13	2020	50 First Dates	tt0343660			Date being recreated for Lucy	Waffle house			
Oct 21 2020	10	21	2020	Back to the Future	tt0088763			Back to the Future Day				
Oct 24 2020	10	24	2020	Rush	tt1979320							
Oct 26 2020	10	26	2020	The Goonies	tt0089218							
Oct 31 2020	10	31	2020	Halloween	tt0077651							
Nov 1 2020	11	1	2020	Bladerunner	tt0083658			Bladerunner Day				
Nov 2 1951	11	2	1951	The Thing From Another World	tt0044121	The_Thing_from_Another_World		Date they arrive at the North Pole				
Nov 4 1979	11	4	1979	Argo	tt1024648	Argo_(2012_film)	Iran_hostage_crisis	Date the embassy staff were taken hostage				
Nov 5 2020	11	5	2020	V for Vendetta	tt0434409			Date of the climax of the movie, Guy Fawkes Night				
Nov 11 1918	11	11	1918	All Quiet on the Western Front	tt0020629							
Nov 13 1990	11	13	1990	Out of the Blue	tt0081291	Out_of_the_Blue_(2006_film)	Aramoana_massacre					
Nov 14 2020	11	14	2020	We Are Marshall	tt0758794			Date of the crash				
Nov 17 1558	11	17	1558	Elizabeth	tt0127536		Coronation_of_Elizabeth_I	Date of Elizabeth's coronation				
Nov 18 1978	11	18	1978	Jonestown: The Life and Death of Peoples Temple	tt0762111	Jonestown:_The_Life_and_Death_of_Peoples_Temple	Jonestown#Deaths_in_Jonestown	Date of the mass suicide	Flavor Aid, Kool Aid or other powdered drink			
Nov 18 1978	11	18	1978	Jonestown: Terror in the Jungle	tt8014232		Jonestown#Deaths_in_Jonestown	Date of the mass suicide	Flavor Aid, Kool Aid or other powdered drink			
Nov 18 1978	11	18	1978	Jonestown: Paradise Lost	tt1090665	Jonestown:_Paradise_Lost	Jonestown#Deaths_in_Jonestown	Date of the mass suicide	Flavor Aid, Kool Aid or other powdered drink			
Nov 19 1863	11	19	1863	The Gettysburg Address	tt3066808		Gettysburg_Address	Date the address was given				
Nov 22 1963	11	22	1963	JFK	tt0102138	JFK_(film)	Assassination_of_John_F._Kennedy	Date of Kennedy's assassination				
Nov 25 3978	11	25	3978	Planet of the Apes	tt0063442	Planet_of_the_Apes_(1968_film)						
Nov 26 2014	11	26	2014	Thanksgiving	tt2786266							
Nov 28 1979	11	28	1979	Erebus: The Aftermath	tt0447587	Erebus:_The_Aftermath	Mount_Erebus_disaster	Date of the plane crash				
Nov 28 1979	11	28	1979	Erebus: Into the Unknown	tt3667152		Mount_Erebus_disaster	Date of the plane crash				
Dec 2 1941	12	2	1941	Casablanca	tt0034583	Casablanca_(film)						
Dec 5 1955	12	5	1955	Boycott	tt0255851			First day of the boycott				
Dec 7 1941	12	7	1941	Pearl Harbor	tt0213149	Pearl_Harbor_(film)	Attack_on_Pearl_Harbor	Date of the attack on Pearl Harbour				
Dec 7 1941	12	7	1941	Tora Tora Tora	tt0066473							
Dec 8 1941	12	8	1941	Wake Island	tt0035530	Wake_Island_(film)	Battle_of_Wake_Island	Date of the battle of Wake Island				
Dec 13 1941	12	13	1941	1941	tt0078723							
Dec 17 1967	12	17	1967	Holt	tt6889666							
Dec 17 2004	12	17	2004	American Animals	tt6212478	American_Animals		Date of the heist				
Dec 19 2003	12	19	2003	The Day Britain Stopped	tt0365103	The_Day_Britain_Stopped						
Dec 22 2020	12	22	2020	Home Alone	tt0099785			Date Kevin is left at home alone	Large cheese pizza, popcorn, ice cream sundae			
Dec 24 1843	12	24	1843	A Christmas Carol	tt0087056							
Dec 24 1843	12	24	1843	A Christmas Carol	tt0216621							
Dec 24 1843	12	24	1843	A Christmas Carol	tt1067106							
Dec 24 1843	12	24	1843	A Christmas Carol	tt7686464							
Dec 24 1843	12	24	1843	A Christmas Carol	tt0044008							
Dec 24 1843	12	24	1843	The Muppet Christmas Carol	tt0104940							
Dec 24 1914	12	24	1914	Joyeux Noel	tt0424205							
Dec 24 1988	12	24	1988	Die Hard	tt0095016	Die_Hard						
Dec 24 1990	12	24	1990	Die Hard 2	tt0099423	Die_Hard_2						
Dec 25 2000	12	25	0	Life of Brian	tt0079470	Monty_Python%27s_Life_of_Brian		Brian's birth date				I was initially going to advise you that an unhealthy dose of suspended belief will be required to get the most of ‘Air Collision’, but upon further examination… don’t bother.
Dec 25 2011	12	25	2011	Man vs Snake	tt2933794	Man_vs_Snake	Nibbler_(video_game)	Date Tim McVey reclaimed the highest score in Nibbler	Macaroni and cheese			
Dec 26 2004	12	26	2004	The Impossible	tt1649419	The_Impossible_(2012_film)	2004_Indian_Ocean_earthquake_and_tsunami	Date of the tsunami				
Dec 29 1170	12	29	1170	Becket	tt0057877	Becket_(1964_film)	Thomas_Becket#Assassination	Date of Thomas Becket's assassination				
Dec 30 1999	12	30	1999	Strange Days	tt0114558	Strange_Days_(film)		Date at the beginning of the movie		00:00:55		
Dec 31 2020	12	31	2020	New Year's Eve	tt1598822			Movie is named after the date				
Dec 31 2020	12	31	2020	The Poseidon Adventure (2005)	tt0419358	The_Poseidon_Adventure_(2005_film)		Date the bomb explodes				
Dec 31 2020	12	31	2020	Poseidon	tt0409182	Poseidon_(film)		Date the bomb explodes				
Apr 20 2010	4	20	2010	Deepwater Horizon	tt1860357	Deepwater_Horizon_(film)		It exploded				
